Node ID,round,period,step,Simulation time (seconds),Chronological time (seconds)
16,3,0,1,10.200000286101,17.7007463
16,3,0,2,10.200000286101,17.7137719
327,3,0,1,10.200000286101,17.7137719
327,3,0,2,10.200000286101,17.7257719
286,3,0,1,10.200000286101,17.7257719
286,3,0,2,10.200000286101,17.7377379
267,3,0,1,10.200000286101,17.7377379
267,3,0,2,10.200000286101,17.7477386
252,3,0,1,10.200000286101,17.7477386
252,3,0,2,10.200000286101,17.7547415
222,3,0,1,10.200000286101,17.7547415
222,3,0,2,10.200000286101,17.763739
207,3,0,1,10.200000286101,17.763739
207,3,0,2,10.200000286101,17.7737433
121,3,0,1,10.200000286101,17.7737433
121,3,0,2,10.200000286101,17.7827418
116,3,0,1,10.200000286101,17.7827418
116,3,0,2,10.200000286101,17.7947398
10,3,0,1,10.200000286101,17.7947398
10,3,0,2,10.200000286101,17.8017384
391,3,0,1,10.200000286101,17.8017384
391,3,0,2,10.200000286101,17.8037759
311,3,0,1,10.200000286101,17.8037759
311,3,0,2,10.200000286101,17.814743
215,3,0,1,10.200000286101,17.814743
215,3,0,2,10.200000286101,17.8257388
187,3,0,1,10.200000286101,17.8257388
187,3,0,2,10.200000286101,17.8367396
180,3,0,1,10.200000286101,17.8367396
180,3,0,2,10.200000286101,17.8427421
176,3,0,1,10.200000286101,17.8427421
176,3,0,2,10.200000286101,17.8487795
160,3,0,1,10.200000286101,17.8487795
160,3,0,2,10.200000286101,17.8577404
158,3,0,1,10.200000286101,17.8577404
158,3,0,2,10.200000286101,17.8653949
130,3,0,1,10.200000286101,17.8653949
130,3,0,2,10.200000286101,17.8723785
60,3,0,1,10.200000286101,17.8723785
60,3,0,2,10.200000286101,17.8813812
45,3,0,1,10.200000286101,17.8813812
45,3,0,2,10.200000286101,17.8933833
396,3,0,1,10.200000286101,17.8933833
396,3,0,2,10.200000286101,17.9053806
352,3,0,1,10.200000286101,17.9053806
352,3,0,2,10.200000286101,17.90938
341,3,0,1,10.200000286101,17.90938
341,3,0,2,10.200000286101,17.916379
325,3,0,1,10.200000286101,17.916379
325,3,0,2,10.200000286101,17.9313782
304,3,0,1,10.200000286101,17.9313782
304,3,0,2,10.200000286101,17.9403776
270,3,0,1,10.200000286101,17.9403776
270,3,0,2,10.200000286101,17.9473792
238,3,0,1,10.200000286101,17.9473792
238,3,0,2,10.200000286101,17.9523821
237,3,0,1,10.200000286101,17.9523821
237,3,0,2,10.200000286101,17.9593838
228,3,0,1,10.200000286101,17.9593838
228,3,0,2,10.200000286101,17.9653787
202,3,0,1,10.200000286101,17.9653787
202,3,0,2,10.200000286101,17.9703783
149,3,0,1,10.200000286101,17.9703783
149,3,0,2,10.200000286101,17.9743777
97,3,0,1,10.200000286101,17.9753811
97,3,0,2,10.200000286101,17.9803788
85,3,0,1,10.200000286101,17.9803788
85,3,0,2,10.200000286101,17.9883803
61,3,0,1,10.200000286101,17.9883803
61,3,0,2,10.200000286101,17.9983793
54,3,0,1,10.200000286101,17.9983793
54,3,0,2,10.200000286101,18.0034112
49,3,0,1,10.200000286101,18.0034112
49,3,0,2,10.200000286101,18.0123839
15,3,0,1,10.200000286101,18.0123839
15,3,0,2,10.200000286101,18.0274188
5,3,0,1,10.200000286101,18.0274188
5,3,0,2,10.200000286101,18.034406
358,3,0,1,10.200000286101,18.034406
358,3,0,2,10.200000286101,18.039403
342,3,0,1,10.200000286101,18.039403
342,3,0,2,10.200000286101,18.04338
317,3,0,1,10.200000286101,18.04338
317,3,0,2,10.200000286101,18.0523857
259,3,0,1,10.200000286101,18.0523857
259,3,0,2,10.200000286101,18.056399
242,3,0,1,10.200000286101,18.056399
242,3,0,2,10.200000286101,18.065379
239,3,0,1,10.200000286101,18.065379
239,3,0,2,10.200000286101,18.0724153
192,3,0,1,10.200000286101,18.0724153
192,3,0,2,10.200000286101,18.0753796
186,3,0,1,10.200000286101,18.0753796
186,3,0,2,10.200000286101,18.0793812
184,3,0,1,10.200000286101,18.0793812
184,3,0,2,10.200000286101,18.0873807
110,3,0,1,10.200000286101,18.0873807
110,3,0,2,10.200000286101,18.0953988
101,3,0,1,10.200000286101,18.0953988
101,3,0,2,10.200000286101,18.1063215
66,3,0,1,10.200000286101,18.1063215
66,3,0,2,10.200000286101,18.1233177
43,3,0,1,10.200000286101,18.1233177
43,3,0,2,10.200000286101,18.1293156
394,3,0,1,10.200000286101,18.1293156
394,3,0,2,10.200000286101,18.1403165
370,3,0,1,10.200000286101,18.1403165
370,3,0,2,10.200000286101,18.1513586
356,3,0,1,10.200000286101,18.1513586
356,3,0,2,10.200000286101,18.1613551
315,3,0,1,10.200000286101,18.1613551
315,3,0,2,10.200000286101,18.1713178
282,3,0,1,10.200000286101,18.1713178
282,3,0,2,10.200000286101,18.1783172
276,3,0,1,10.200000286101,18.1783172
276,3,0,2,10.200000286101,18.1863176
241,3,0,1,10.200000286101,18.1863176
241,3,0,2,10.200000286101,18.1903185
205,3,0,1,10.200000286101,18.1903185
205,3,0,2,10.200000286101,18.1963185
154,3,0,1,10.200000286101,18.1963185
154,3,0,2,10.200000286101,18.2043638
144,3,0,1,10.200000286101,18.2043638
144,3,0,2,10.200000286101,18.2103542
82,3,0,1,10.200000286101,18.2103542
82,3,0,2,10.200000286101,18.2143686
67,3,0,1,10.200000286101,18.2143686
67,3,0,2,10.200000286101,18.2233174
48,3,0,1,10.200000286101,18.2233174
48,3,0,2,10.200000286101,18.2283549
27,3,0,1,10.200000286101,18.2283549
27,3,0,2,10.200000286101,18.2353191
25,3,0,1,10.200000286101,18.2353191
25,3,0,2,10.200000286101,18.2443176
354,3,0,1,10.200000286101,18.2443176
354,3,0,2,10.200000286101,18.2513182
330,3,0,1,10.200000286101,18.2513182
330,3,0,2,10.200000286101,18.2593171
293,3,0,1,10.200000286101,18.2593171
293,3,0,2,10.200000286101,18.2613162
280,3,0,1,10.200000286101,18.2613162
280,3,0,2,10.200000286101,18.2663174
262,3,0,1,10.200000286101,18.2663174
262,3,0,2,10.200000286101,18.2753531
246,3,0,1,10.200000286101,18.2753531
246,3,0,2,10.200000286101,18.2773539
200,3,0,1,10.200000286101,18.2773539
200,3,0,2,10.200000286101,18.2843181
37,3,0,1,10.200000286101,18.2843181
37,3,0,2,10.200000286101,18.2903335
11,3,0,1,10.200000286101,18.2903335
11,3,0,2,10.200000286101,18.2973534
398,3,0,1,10.200000286101,18.2973534
398,3,0,2,10.200000286101,18.3093946
389,3,0,1,10.200000286101,18.3093946
389,3,0,2,10.200000286101,18.3233916
365,3,0,1,10.200000286101,18.3233916
365,3,0,2,10.200000286101,18.3374043
348,3,0,1,10.200000286101,18.3374043
348,3,0,2,10.200000286101,18.3433902
337,3,0,1,10.200000286101,18.3433902
337,3,0,2,10.200000286101,18.352389
321,3,0,1,10.200000286101,18.352389
321,3,0,2,10.200000286101,18.3623911
294,3,0,1,10.200000286101,18.3623911
294,3,0,2,10.200000286101,18.3703851
277,3,0,1,10.200000286101,18.3703851
277,3,0,2,10.200000286101,18.3754232
260,3,0,1,10.200000286101,18.3754232
260,3,0,2,10.200000286101,18.3804207
255,3,0,1,10.200000286101,18.3804207
255,3,0,2,10.200000286101,18.3904202
196,3,0,1,10.200000286101,18.3904202
196,3,0,2,10.200000286101,18.3974223
165,3,0,1,10.200000286101,18.3974223
165,3,0,2,10.200000286101,18.4066352
161,3,0,1,10.200000286101,18.4066352
161,3,0,2,10.200000286101,18.4126677
93,3,0,1,10.200000286101,18.4126677
93,3,0,2,10.200000286101,18.4196446
84,3,0,1,10.200000286101,18.4206342
84,3,0,2,10.200000286101,18.4296415
80,3,0,1,10.200000286101,18.4296415
80,3,0,2,10.200000286101,18.4356385
399,3,0,1,10.200000286101,18.4356385
399,3,0,2,10.200000286101,18.4446355
344,3,0,1,10.200000286101,18.4446355
344,3,0,2,10.200000286101,18.4506352
320,3,0,1,10.200000286101,18.4506352
320,3,0,2,10.200000286101,18.4586366
290,3,0,1,10.200000286101,18.4586366
290,3,0,2,10.200000286101,18.4676387
279,3,0,1,10.200000286101,18.4676387
279,3,0,2,10.200000286101,18.4776367
272,3,0,1,10.200000286101,18.4776367
272,3,0,2,10.200000286101,18.4866438
268,3,0,1,10.200000286101,18.4866438
268,3,0,2,10.200000286101,18.4946359
226,3,0,1,10.200000286101,18.4946359
226,3,0,2,10.200000286101,18.5076577
197,3,0,1,10.200000286101,18.5076577
197,3,0,2,10.200000286101,18.5216599
157,3,0,1,10.200000286101,18.5216599
157,3,0,2,10.200000286101,18.5336602
112,3,0,1,10.200000286101,18.5336602
112,3,0,2,10.200000286101,18.5466585
104,3,0,1,10.200000286101,18.5466585
104,3,0,2,10.200000286101,18.5576591
102,3,0,1,10.200000286101,18.5576591
102,3,0,2,10.200000286101,18.5686611
69,3,0,1,10.200000286101,18.5696637
69,3,0,2,10.200000286101,18.5766617
8,3,0,1,10.200000286101,18.5766617
8,3,0,2,10.200000286101,18.5876605
